Name,Cost,Role,Trait1,Trait2,Trait3
Aatrox,5,Attack Fighter,Darkin,WorldEnder,Slayer
Ahri,3,Magic Caster,Ionia,Arcanist,
Ambessa,4,Attack Fighter,Noxus,Vanquisher,
Anivia,1,Magic Caster,Freljord,Invoker,
Annie,5,Magic Caster,Dark Child,Arcanist,
Aphelios,2,Attack Marksman,Targon,,
Ashe,2,Attack Marksman,Freljord,Quickstriker,
Aurelion Sol,7,Magic Caster,Star Forger,Targon,
Azir,5,Magic Marksman,Shurima,Emperor,Disruptor
Bard,2,Magic Caster,Caretaker,,
Baron Nashor,7,Attack Fighter,Void,Riftscourge,
Bel'Veth,4,Attack Fighter,Void,Slayer,
Blitzcrank,1,Magic Tank,Zaun,Juggernaut,
Braum,4,Magic Tank,Freljord,Warden,
Briar,1,Attack Assassin,Noxus,Slayer,Juggernaut
Brock,7,Attack Fighter,Ixtal,,
Caitlyn,1,Attack Caster,Piltover,Longshot,
Cho'Gath,2,Magic Tank,Void,Juggernaut,
Darius,3,Attack Tank,Noxus,Defender,
Diana,4,Magic Assassin,Targon,,
Dr. Mundo,3,Attack Tank,Zaun,Bruiser,
Draven,3,Attack Marksman,Noxus,Quickstriker,
Ekko,2,Magic Fighter,Zaun,Disruptor,
Fiddlesticks,5,Magic Assassin,Harvester,Vanquisher,
Fizz,4,Magic Assassin,Bilgewater,Yordle,
Galio,5,Magic Tank,Demacia,Heroic,
Gangplank,3,Attack Fighter,Bilgewater,Slayer,Vanquisher
Garen,4,Attack Tank,Demacia,Defender,
Graves,2,Attack Fighter,Bilgewater,Gunslinger,
Gwen,3,Magic Fighter,Shadow Isles,Disruptor,
Illaoi,1,Attack Tank,Bilgewater,Bruiser,
Jarvan IV,1,Magic Tank,Demacia,Defender,
Jhin,1,Attack Marksman,Ionia,Gunslinger,
Jinx,3,Attack Specialist,Zaun,Gunslinger,
Kai'Sa,4,Attack Caster,Assimilator,Void,Longshot
Kalista,4,Attack Caster,Shadow Isles,Vanquisher,
Kennen,3,Magic Tank,Ionia,Yordle,Defender
Kindred,5,Attack Marksman,Eternal,Quickstriker,
Kobuko & Yuumi,3,Magic Tank,Yordle,Bruiser,Invoker
Kog'Maw,1,Magic Caster,Void,Arcanist,Longshot
LeBlanc,3,Magic Caster,Noxus,Invoker,
Leona,3,Magic Tank,Targon,,
Lissandra,4,Magic Caster,Freljord,Invoker,
Loris,3,Magic Tank,Piltover,Warden,
Lucian & Senna,5,Attack Caster,Soulbound,Gunslinger,
Lulu,1,Magic Caster,Yordle,Arcanist,
Lux,4,Magic Caster,Demacia,Arcanist,
Malzahar,3,Magic Caster,Void,Disruptor,
Mel,5,Magic Caster,Noxus,Disruptor,
Milio,3,Magic Caster,Ixtal,Invoker,
Miss Fortune,4,Attack Caster,Bilgewater,Gunslinger,
Nasus,4,Magic Tank,Shurima,,
Nautilus,3,Magic Tank,Bilgewater,Juggernaut,Warden
Neeko,2,Magic Tank,Ixtal,Arcanist,Defender
Nidalee,4,Magic Fighter,Ixtal,Huntress,
Orianna,2,Magic Caster,Piltover,Invoker,
Ornn,5,Magic Tank,Blacksmith,Warden,
Poppy,2,Attack Tank,Demacia,Yordle,Juggernaut
Qiyana,1,Attack Fighter,Ixtal,Slayer,
Rek'Sai,2,Attack Assassin,Void,Vanquisher,
Renekton,4,Attack Fighter,Shurima,,
Rift Herald,4,Magic Tank,Void,Bruiser,
Rumble,1,Magic Tank,Yordle,Defender,
Ryze,7,Magic Caster,Rune Mage,,
Sejuani,3,Magic Tank,Freljord,Defender,
Seraphine,4,Magic Caster,Piltover,Disruptor,
Sett,5,Magic Fighter,Ionia,TheBoss,
Shen,1,Magic Tank,Ionia,Bruiser,
Shyvana,5,Attack Fighter,Dragonborn,Juggernaut,
Singed,4,Magic Tank,Zaun,Juggernaut,
Sion,2,Magic Tank,Noxus,Bruiser,
Skarner,4,Attack Tank,Ixtal,,
Sona,1,Magic Caster,Demacia,Invoker,
Swain,4,Magic Tank,Noxus,Arcanist,Juggernaut
Sylas,7,Magic Fighter,Chainbreaker,Arcanist,Defender
T-Hex,5,Attack Fighter,Hex Mech,Piltover,Gunslinger
Tahm Kench,5,Magic Tank,Bilgewater,Glutton,Bruiser
Taric,4,Magic Tank,Targon,,
Teemo,2,Magic Caster,Yordle,Longshot,
Thresh,5,Magic Fighter,Shadow Isles,Warden,
Tibbers,5,Magic Tank,Arcanist,,
Tristana,2,Attack Caster,Yordle,Gunslinger,
Tryndamere,2,Attack Fighter,Freljord,Slayer,
Twisted Fate,2,Magic Specialist,Bilgewater,Quickstriker,
Vayne,3,Attack Marksman,Demacia,Longshot,
Veigar,4,Magic Caster,Yordle,Arcanist,
Vi,2,Attack Fighter,Piltover,Zaun,Defender
Viego,1,Hybrid Fighter,Shadow Isles,Quickstriker,
Volibear,5,Attack Fighter,Freljord,Bruiser,
Warwick,4,Attack Fighter,Zaun,Quickstriker,
Wukong,4,Attack Tank,Ionia,Bruiser,
Xerath,5,Magic Caster,Shurima,Ascendant,
Xin Zhao,2,Attack Tank,Demacia,Ionia,Warden
Yasuo,2,Attack Fighter,Ionia,Slayer,
Yone,4,Hybrid Fighter,Ionia,Slayer,
Yorick,2,Magic Tank,Shadow Isles,Warden,
Yunara,4,Attack Marksman,Ionia,Quickstriker,
Zaahen,7,Attack Fighter,Darkin,Immortal,
Ziggs,5,Magic Marksman,Zaun,Yordle,Longshot
Zilean,5,Magic Caster,Chronokeeper,Invoker,
Zoe,3,Magic Caster,Targon,,
